MGI Gene ID	Gene Symbol	Gene Name	MGI Assay ID	Assay Type	Age	Theiler Stage	Structure	Detected	TPM Level (RNA-Seq)	Biological Replicates (RNA-Seq)	Images	Mutant Allele(s)	Strain	Sex	Notes (RNA-Seq)	TPM (avg_quantile normalization)	MGI Reference ID	PubMed ID	Citation
MGI:5010850	Gm18665	"predicted gene, 18665"	E-GEOD-77997	RNA-Seq	P3	27	hair follicle	Yes	Low	1			involves: 129P2/OlaHsd * 129S4/SvJae * 129X1/SvJ * C57BL/6 * CBA		"mixture of wild-types from Notch, Presenilin, and RBPjk crosses"	1	E-GEOD-77997		"Quantitative Analysis of Notch mutant (Notch1&2-null, Psen1&2-null, RBPjk-null) and wild-type hair follicle transcriptomes by NGS"
MGI:5010850	Gm18665	"predicted gene, 18665"	E-GEOD-77997	RNA-Seq	P3	27	hair follicle	Yes	Low	1			involves: 129P2/OlaHsd * C57BL/6 * CBA		wild-type littermate from RBPjk cross	7	E-GEOD-77997		"Quantitative Analysis of Notch mutant (Notch1&2-null, Psen1&2-null, RBPjk-null) and wild-type hair follicle transcriptomes by NGS"
MGI:5010850	Gm18665	"predicted gene, 18665"	E-MTAB-7561	RNA-Seq	P w 8	28	brown fat	Yes	Medium	3			C57BL/6	Male	inguinal fat pad	22	E-MTAB-7561		RNA-seq of brown and white mouse adipose tissue at thermoneutrality and high-fat diet
MGI:5010850	Gm18665	"predicted gene, 18665"	E-MTAB-7561	RNA-Seq	P w 8	28	brown fat	Yes	Medium	3			C57BL/6	Male	interscapular fat pad	13	E-MTAB-7561		RNA-seq of brown and white mouse adipose tissue at thermoneutrality and high-fat diet
MGI:5579294	Gm28588	predicted gene 28588	E-GEOD-74747	RNA-Seq	P w 8	28	skin	Yes	Low	1			C57BL/6	Male		0.8	E-GEOD-74747		RNA-seq of 9 tissues from an adult male C57BL/6 mouse
MGI:5580356	Gm29650	predicted gene 29650	E-MTAB-7561	RNA-Seq	P w 8	28	brown fat	Yes	Low	3			C57BL/6	Male	inguinal fat pad	4	E-MTAB-7561		RNA-seq of brown and white mouse adipose tissue at thermoneutrality and high-fat diet
MGI:5580356	Gm29650	predicted gene 29650	E-MTAB-7561	RNA-Seq	P w 8	28	brown fat	Yes	Low	3			C57BL/6	Male	interscapular fat pad	2	E-MTAB-7561		RNA-seq of brown and white mouse adipose tissue at thermoneutrality and high-fat diet
MGI:5580356	Gm29650	predicted gene 29650	E-GEOD-74747	RNA-Seq	P w 8	28	skin	Yes	Low	1			C57BL/6	Male		9	E-GEOD-74747		RNA-seq of 9 tissues from an adult male C57BL/6 mouse
MGI:5580356	Gm29650	predicted gene 29650	E-MTAB-7445	RNA-Seq	P w 10	28	brown fat	Yes	Low	3			C57BL/6			5	E-MTAB-7445		RNA-seq of age-associated transcriptome changes in brown adipose tissue
MGI:5580356	Gm29650	predicted gene 29650	E-MTAB-9192	RNA-Seq	P w 12	28	brown fat	Yes	Low	3			C57BL/6J	Male	interscapular brown adipose tissue	5	E-MTAB-9192		"Mouse interscapular brown, subscapular white and inguinal white adipose tissue"
MGI:5580356	Gm29650	predicted gene 29650	E-GEOD-65775	RNA-Seq	P m 6	28	brown fat	Yes	Low	4			involves: 129S1/Sv * C57BL/6J	Male	brown adipose tissue	7	E-GEOD-65775		Transcriptome profiling in knock-in mouse models of Huntington's disease [AllelicSeries_6month_TissueSurvey_mRNA]
MGI:5580356	Gm29650	predicted gene 29650	E-GEOD-65775	RNA-Seq	P m 6	28	skin	Yes	Medium	3			involves: 129S1/Sv * C57BL/6J	Male		30	E-GEOD-65775		Transcriptome profiling in knock-in mouse models of Huntington's disease [AllelicSeries_6month_TissueSurvey_mRNA]
MGI:5580356	Gm29650	predicted gene 29650	E-MTAB-7445	RNA-Seq	P w 76	28	brown fat	Yes	Low	3			C57BL/6			4	E-MTAB-7445		RNA-seq of age-associated transcriptome changes in brown adipose tissue
MGI:6096131	Gm47283	"predicted gene, 47283"	E-GEOD-77997	RNA-Seq	P3	27	hair follicle	Yes	Low	1			involves: 129X1/SvJ * C57BL/6 * CBA		wild-type littermate from Notch cross	0.7	E-GEOD-77997		"Quantitative Analysis of Notch mutant (Notch1&2-null, Psen1&2-null, RBPjk-null) and wild-type hair follicle transcriptomes by NGS"
MGI:6096131	Gm47283	"predicted gene, 47283"	E-GEOD-77997	RNA-Seq	P3	27	hair follicle	Yes	Low	1			involves: 129P2/OlaHsd * 129S4/SvJae * 129X1/SvJ * C57BL/6 * CBA		"mixture of wild-types from Notch, Presenilin, and RBPjk crosses"	0.9	E-GEOD-77997		"Quantitative Analysis of Notch mutant (Notch1&2-null, Psen1&2-null, RBPjk-null) and wild-type hair follicle transcriptomes by NGS"
MGI:6096131	Gm47283	"predicted gene, 47283"	E-GEOD-77997	RNA-Seq	P3	27	hair follicle	Yes	Low	1			involves: 129P2/OlaHsd * C57BL/6 * CBA		wild-type littermate from RBPjk cross	1	E-GEOD-77997		"Quantitative Analysis of Notch mutant (Notch1&2-null, Psen1&2-null, RBPjk-null) and wild-type hair follicle transcriptomes by NGS"
MGI:6096131	Gm47283	"predicted gene, 47283"	E-GEOD-74747	RNA-Seq	P w 8	28	skin	Yes	Low	1			C57BL/6	Male		4	E-GEOD-74747		RNA-seq of 9 tissues from an adult male C57BL/6 mouse
MGI:6096131	Gm47283	"predicted gene, 47283"	E-MTAB-9192	RNA-Seq	P w 12	28	brown fat	Yes	Low	3			C57BL/6J	Male	interscapular brown adipose tissue	7	E-MTAB-9192		"Mouse interscapular brown, subscapular white and inguinal white adipose tissue"
MGI:6096131	Gm47283	"predicted gene, 47283"	E-GEOD-65775	RNA-Seq	P m 6	28	brown fat	Yes	Low	4			involves: 129S1/Sv * C57BL/6J	Male	brown adipose tissue	0.5	E-GEOD-65775		Transcriptome profiling in knock-in mouse models of Huntington's disease [AllelicSeries_6month_TissueSurvey_mRNA]
MGI:6096131	Gm47283	"predicted gene, 47283"	E-GEOD-65775	RNA-Seq	P m 6	28	skin	Yes	Low	3			involves: 129S1/Sv * C57BL/6J	Female		3	E-GEOD-65775		Transcriptome profiling in knock-in mouse models of Huntington's disease [AllelicSeries_6month_TissueSurvey_mRNA]
MGI:6096131	Gm47283	"predicted gene, 47283"	E-GEOD-65775	RNA-Seq	P m 6	28	skin	Yes	Low	3			involves: 129S1/Sv * C57BL/6J	Male		6	E-GEOD-65775		Transcriptome profiling in knock-in mouse models of Huntington's disease [AllelicSeries_6month_TissueSurvey_mRNA]
MGI:99780	Kdm5d	lysine (K)-specific demethylase 5D	E-GEOD-77997	RNA-Seq	P3	27	hair follicle	Yes	Low	1			involves: 129X1/SvJ * C57BL/6 * CBA		wild-type littermate from Notch cross	5	E-GEOD-77997		"Quantitative Analysis of Notch mutant (Notch1&2-null, Psen1&2-null, RBPjk-null) and wild-type hair follicle transcriptomes by NGS"
MGI:99780	Kdm5d	lysine (K)-specific demethylase 5D	E-GEOD-77997	RNA-Seq	P3	27	hair follicle	Yes	Low	1			involves: 129P2/OlaHsd * 129S4/SvJae * 129X1/SvJ * C57BL/6 * CBA		"mixture of wild-types from Notch, Presenilin, and RBPjk crosses"	4	E-GEOD-77997		"Quantitative Analysis of Notch mutant (Notch1&2-null, Psen1&2-null, RBPjk-null) and wild-type hair follicle transcriptomes by NGS"
MGI:99780	Kdm5d	lysine (K)-specific demethylase 5D	E-GEOD-77997	RNA-Seq	P3	27	hair follicle	Yes	Low	1			involves: 129P2/OlaHsd * C57BL/6 * CBA		wild-type littermate from RBPjk cross	7	E-GEOD-77997		"Quantitative Analysis of Notch mutant (Notch1&2-null, Psen1&2-null, RBPjk-null) and wild-type hair follicle transcriptomes by NGS"
MGI:99780	Kdm5d	lysine (K)-specific demethylase 5D	E-MTAB-7561	RNA-Seq	P w 8	28	brown fat	Yes	Medium	3			C57BL/6	Male	inguinal fat pad	11	E-MTAB-7561		RNA-seq of brown and white mouse adipose tissue at thermoneutrality and high-fat diet
MGI:99780	Kdm5d	lysine (K)-specific demethylase 5D	E-MTAB-7561	RNA-Seq	P w 8	28	brown fat	Yes	Low	3			C57BL/6	Male	interscapular fat pad	5	E-MTAB-7561		RNA-seq of brown and white mouse adipose tissue at thermoneutrality and high-fat diet
MGI:99780	Kdm5d	lysine (K)-specific demethylase 5D	E-GEOD-74747	RNA-Seq	P w 8	28	skin	Yes	Low	1			C57BL/6	Male		3	E-GEOD-74747		RNA-seq of 9 tissues from an adult male C57BL/6 mouse
MGI:99780	Kdm5d	lysine (K)-specific demethylase 5D	E-MTAB-7445	RNA-Seq	P w 10	28	brown fat	Yes	Low	3			C57BL/6			3	E-MTAB-7445		RNA-seq of age-associated transcriptome changes in brown adipose tissue
MGI:99780	Kdm5d	lysine (K)-specific demethylase 5D	E-MTAB-9192	RNA-Seq	P w 12	28	brown fat	Yes	Low	3			C57BL/6J	Male	interscapular brown adipose tissue	1	E-MTAB-9192		"Mouse interscapular brown, subscapular white and inguinal white adipose tissue"
MGI:99780	Kdm5d	lysine (K)-specific demethylase 5D	E-GEOD-65775	RNA-Seq	P m 6	28	brown fat	Yes	Low	4			involves: 129S1/Sv * C57BL/6J	Male	brown adipose tissue	5	E-GEOD-65775		Transcriptome profiling in knock-in mouse models of Huntington's disease [AllelicSeries_6month_TissueSurvey_mRNA]
MGI:99780	Kdm5d	lysine (K)-specific demethylase 5D	E-GEOD-65775	RNA-Seq	P m 6	28	skin	Yes	Low	3			involves: 129S1/Sv * C57BL/6J	Male		5	E-GEOD-65775		Transcriptome profiling in knock-in mouse models of Huntington's disease [AllelicSeries_6month_TissueSurvey_mRNA]
MGI:99780	Kdm5d	lysine (K)-specific demethylase 5D	E-MTAB-7445	RNA-Seq	P w 76	28	brown fat	Yes	Low	3			C57BL/6			3	E-MTAB-7445		RNA-seq of age-associated transcriptome changes in brown adipose tissue
MGI:894810	Uty	"ubiquitously transcribed tetratricopeptide repeat containing, Y-linked"	E-GEOD-77997	RNA-Seq	P3	27	hair follicle	Yes	Medium	1			involves: 129X1/SvJ * C57BL/6 * CBA		wild-type littermate from Notch cross	12	E-GEOD-77997		"Quantitative Analysis of Notch mutant (Notch1&2-null, Psen1&2-null, RBPjk-null) and wild-type hair follicle transcriptomes by NGS"
MGI:894810	Uty	"ubiquitously transcribed tetratricopeptide repeat containing, Y-linked"	E-GEOD-77997	RNA-Seq	P3	27	hair follicle	Yes	Low	1			involves: 129P2/OlaHsd * 129S4/SvJae * 129X1/SvJ * C57BL/6 * CBA		"mixture of wild-types from Notch, Presenilin, and RBPjk crosses"	7	E-GEOD-77997		"Quantitative Analysis of Notch mutant (Notch1&2-null, Psen1&2-null, RBPjk-null) and wild-type hair follicle transcriptomes by NGS"
MGI:894810	Uty	"ubiquitously transcribed tetratricopeptide repeat containing, Y-linked"	E-GEOD-77997	RNA-Seq	P3	27	hair follicle	Yes	Medium	1			involves: 129P2/OlaHsd * C57BL/6 * CBA		wild-type littermate from RBPjk cross	13	E-GEOD-77997		"Quantitative Analysis of Notch mutant (Notch1&2-null, Psen1&2-null, RBPjk-null) and wild-type hair follicle transcriptomes by NGS"
MGI:894810	Uty	"ubiquitously transcribed tetratricopeptide repeat containing, Y-linked"	E-MTAB-7561	RNA-Seq	P w 8	28	brown fat	Yes	Medium	3			C57BL/6	Male	inguinal fat pad	30	E-MTAB-7561		RNA-seq of brown and white mouse adipose tissue at thermoneutrality and high-fat diet
MGI:894810	Uty	"ubiquitously transcribed tetratricopeptide repeat containing, Y-linked"	E-MTAB-7561	RNA-Seq	P w 8	28	brown fat	Yes	Medium	3			C57BL/6	Male	interscapular fat pad	18	E-MTAB-7561		RNA-seq of brown and white mouse adipose tissue at thermoneutrality and high-fat diet
MGI:894810	Uty	"ubiquitously transcribed tetratricopeptide repeat containing, Y-linked"	E-GEOD-74747	RNA-Seq	P w 8	28	skin	Yes	Low	1			C57BL/6	Male		3	E-GEOD-74747		RNA-seq of 9 tissues from an adult male C57BL/6 mouse
MGI:894810	Uty	"ubiquitously transcribed tetratricopeptide repeat containing, Y-linked"	E-MTAB-7445	RNA-Seq	P w 10	28	brown fat	Yes	Low	3			C57BL/6			5	E-MTAB-7445		RNA-seq of age-associated transcriptome changes in brown adipose tissue
MGI:894810	Uty	"ubiquitously transcribed tetratricopeptide repeat containing, Y-linked"	E-MTAB-9192	RNA-Seq	P w 12	28	brown fat	Yes	Low	3			C57BL/6J	Male	interscapular brown adipose tissue	2	E-MTAB-9192		"Mouse interscapular brown, subscapular white and inguinal white adipose tissue"
MGI:894810	Uty	"ubiquitously transcribed tetratricopeptide repeat containing, Y-linked"	E-GEOD-65775	RNA-Seq	P m 6	28	brown fat	Yes	Low	4			involves: 129S1/Sv * C57BL/6J	Male	brown adipose tissue	8	E-GEOD-65775		Transcriptome profiling in knock-in mouse models of Huntington's disease [AllelicSeries_6month_TissueSurvey_mRNA]
MGI:894810	Uty	"ubiquitously transcribed tetratricopeptide repeat containing, Y-linked"	E-GEOD-65775	RNA-Seq	P m 6	28	skin	Yes	Low	3			involves: 129S1/Sv * C57BL/6J	Male		7	E-GEOD-65775		Transcriptome profiling in knock-in mouse models of Huntington's disease [AllelicSeries_6month_TissueSurvey_mRNA]
MGI:894810	Uty	"ubiquitously transcribed tetratricopeptide repeat containing, Y-linked"	E-MTAB-7445	RNA-Seq	P w 76	28	brown fat	Yes	Low	3			C57BL/6			4	E-MTAB-7445		RNA-seq of age-associated transcriptome changes in brown adipose tissue
